"ID"	"CPT0001550001"	"CPT0001540009"	"CPT0000790001"	"CPT0000780007"	"CPT0066470004"	"CPT0066430001"	"CPT0006440003"	"CPT0006530001"	"CPT0020020001"	"CPT0019990003"
"KANK2"	0.262700461935834	-0.119173732477272	-0.181501537159831	0.69063724617487	0.385031061504486	-0.33173825129883	0.335758408471612	-0.0305040292309349	0.0710707350142017	0.290929724446888
"KANK3"	0.0405309916761405	0.0193130907496926	-0.116199891268889	1.03758742908669	0.620975889680756	-0.109020215411327	1.41026350104958	0.0791218657025141	0.101779747894967	0.388414210939547
"KANK4"	0.183491184844084	-0.539790896557331	-0.194971226409613	1.10566146529357	-0.336228647876985	0.362790517352289	-1.08978387574287	-0.0997477780345381	0.515158605548344	-0.273812823799352
"KANSL1"	0.210444403110746	-0.175703143823112	-0.33424424136861	-0.303020033401085	0.130293455110095	0.167502499964638	-0.0404665497111874	-0.361523885354489	-0.0610364816995744	0.613569621516186
"KANSL2"	NA	NA	NA	NA	-0.0150921732228826	0.0151265609601457	0.578312799137435	0.108004731680117	0.0640511895438399	0.156471520639761
"KANSL3"	0.12042583035512	-0.361644997253982	-0.2483744354776	0.036215361964513	0.208073398088402	-0.168416088376124	0.0011459336557781	0.0582592492402168	-0.0201223044657528	-0.0204978140090192
"KARS"	-0.0285602342838114	0.189620425566826	-0.0209660495743402	0.0919040310418791	-0.0185959282851795	-0.195780842064288	0.345153295013941	-0.0283910856552261	-0.112560522405863	-0.00837221439155572
"KAT14"	NA	NA	NA	NA	0.274915264596084	0.312494193701932	0.0856892796726041	-0.0284214301686206	0.196200097162219	0.119029840920129
"KAT2A"	-0.156745328968494	-0.233566721306419	-0.416865381058369	-0.0336996726221315	0.187133557502463	0.274942083485614	0.423730234846618	0.338618633672085	-0.00558933459993033	-0.194867281617104
"KAT2B"	-0.0879471236145715	-0.261222517242553	-0.268027265891201	-0.0110761214041121	0.0755763955402466	-0.44264051127058	0.0654777325441432	-0.575323096925997	-0.401000878993074	0.714641964232617
"KAT5"	2.17383900749275	-0.267958804717618	-0.223249728250014	0.092338255232267	0.433091067547297	-0.152167707528387	0.324607852083307	-0.107926543229319	-0.15326367269242	0.59784687945415
"KAT6A"	0.0311374967354299	0.270874072496501	-0.0831730290568742	0.437432326346033	0.0994704153054724	-0.237860122548253	0.322652902272132	0.0528173227905545	-0.0763737674362076	0.164945100764863
"KAT7"	0.153271126687487	-0.0182340058290036	-0.076407977732492	0.246869978141224	-0.043638237617921	-0.0941211641060971	0.242347671987702	0.114755381693642	0.0468820757341031	-0.105151655253016
"KAT8"	-0.0610240272282291	0.116284679222728	-0.0408936614709908	0.292980817380506	0.063993443942189	-0.223958463110588	0.475369672490455	-0.10909524863425	-0.189048604965775	0.0652823714664015
"KATNA1"	0.0713626772705942	0.230982236629121	0.0666875769279993	2.75800135357551e-05	-0.12818261150568	-0.106869426769938	-0.168702652779583	-0.126057465898499	-0.214421596880269	-0.172532403978385
"KATNAL1"	-0.20107311238445	0.0809016659971972	0.0651547797074304	-0.0105827280800799	0.205728848665177	-0.18419781115151	0.404928460489991	-0.221937000759406	-0.174535139471644	0.174149688541638
"KATNB1"	-0.000699651865150142	0.109604558351357	-0.0659087187065794	0.0182506286263238	-0.334893519980569	-0.0133085332041238	-0.304169103947522	0.0174578450307807	0.195980917718382	-0.113231895802993
"KAZN"	0.382526906121979	-0.00978938006005772	0.0980311376794694	0.650764318350348	0.107240716104828	0.100529868209185	0.574752323787636	0.0911284779867794	0.0273580241105987	0.376507581169405
"KBTBD11"	0.156481533926108	0.0311157232092588	0.339468797490677	0.0755654825323406	-0.338995633445942	0.184796312351366	0.238622168073638	0.0765233914193939	0.13157022077594	-0.14621110083766
"KBTBD2"	-0.0308872056069308	0.215970822247812	-0.233511573633481	0.478122183515542	0.584487044935247	-0.382314462441691	0.0728595748126721	0.0240936313164058	-0.160019899764728	0.807456270206655
"KBTBD4"	0.219644458283254	-0.51058668412106	0.0350577943881788	-0.190108367474876	-0.38153581009091	0.359598282384129	-0.453576896231206	-0.0398952210396986	0.171152511500303	-0.324801973545662
"KBTBD6"	0.111061836875761	0.0493879111478763	0.00963363415868274	0.253133571927902	-0.764092892079267	0.192360253285175	-1.45518040071932	0.43087935470454	0.636798127719156	0.796366335613548
"KCMF1"	0.136442610781908	0.175566378586827	0.0413805761436149	-0.0594661546339282	0.0626207939267578	0.01544525867034	0.0950233766041145	0.0398411953973705	0.144835914073778	-0.209346316955796
"KCNAB1"	-0.72180317017016	0.504752981455782	-1.02475522312311	-0.154303132405791	NA	NA	NA	NA	NA	NA
"KCNAB2"	-0.635193573201419	0.550886063048955	-1.02074803170345	-0.0340622834351987	-0.0473839407183805	-0.412908517219452	0.156369374208014	-0.316681946188592	-0.57200489614735	0.42850389917712
"KCNIP3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNJ1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNJ10"	0.944537311098581	-2.09563910646312	1.38601044555658	-0.920000169840447	-0.368147522932415	0.560046022359172	-1.19785160197511	0.0918450337856325	0.545439288696264	-0.494911322598014
"KCNJ15"	-0.0106810731151165	-1.06767226627172	1.22076399655526	-0.717922593159467	-0.513249474464645	1.00584352255612	-0.898418665142711	0.466727837974091	0.558354542741774	-0.458633024255373
"KCNJ16"	0.611537286358666	-1.45032428328816	1.14973941574595	-1.37010534432747	-1.24970212189904	1.02069524791773	-1.45923482545741	0.598845516641707	0.583695025815471	-1.39993813720851
"KCNMA1"	NA	NA	NA	NA	0.584576888199655	-0.553485592463267	0.69720807216355	-0.637675199369146	-0.222979331616743	0.393744069879121
"KCNN2"	NA	NA	NA	NA	0.626576062653243	-0.0760224791287378	0.259974660219112	-0.28154691873972	0.260775042208777	0.278770461067073
"KCNQ1"	0.347288781702291	-0.0588674522046569	0.155791056062378	-0.305437069053462	NA	NA	NA	NA	NA	NA
"KCP"	-0.263270208488226	-1.73534173852628	0.744819675994741	-0.134150577604944	-1.47827471842051	0.544400760591047	-1.02922797365154	0.435698363891077	-0.0890933609643868	-1.41634705663865
"KCTD1"	0.650628525476376	-0.806191384903319	0.800951306520714	-0.194214313486771	0.101994304107289	0.226909674853475	-0.232515860510277	0.0726815029443306	0.39153054072317	-0.35590754261103
"KCTD10"	-0.0659676181989236	0.0459694700839273	-0.0568873638530425	0.00338661591433892	-0.0771446730702738	-0.0395986023566367	-0.0529094661936624	-0.0277248106012155	-0.107200814425434	-0.00482465173944541
"KCTD12"	-0.141174291741401	-0.00327798478429206	-0.402533047315587	-0.15722109187218	-0.185296877508593	-0.314651394079749	-0.448913807528722	0.0754597796853516	-0.0735545641294262	-0.0570730921713857
"KCTD14"	-0.315371959386824	1.05843692597055	-0.559529936963556	-0.124143744259429	0.710282784108284	-1.04041061519012	-0.309836123620219	-0.347003051718124	-0.646490538443216	1.14512894777118
"KCTD15"	0.620162582844044	-0.302505019646168	0.152227643497716	0.204641695749187	0.461261636295613	-0.0664074927927559	0.278021708996148	-0.109991898851624	0.21341175714919	0.106562832171018
"KCTD16"	0.207810190415704	-0.465130811948167	0.2254303571973	-1.34485545668698	0.324373459666005	-0.108225934048884	-1.11584787982826	0.106576312229762	-0.0450506784114362	-0.0985564308814777
"KCTD18"	0.0105948715884296	-0.0924783989582705	0.154403828595216	-0.355288234013368	0.405940243604671	-0.0505898556142854	0.248183749331867	-0.190763694677101	0.0117943306156596	0.0513698080048349
"KCTD21"	0.178427504584748	-0.0846143731787164	0.163938328859525	-0.415964919768702	0.204099757631426	0.264298937717706	-0.480875658963563	0.133511368297719	0.212138715443295	-0.0844030946818233
"KCTD3"	-0.171794349949516	0.0568040838782654	-0.324230065176242	-0.00887895212954792	0.194408343902023	-0.118206675067358	0.117089444958946	-0.329380719948768	-0.233499551120728	0.158652927758442
"KCTD5"	-0.347356923494251	0.242758144511356	0.0215423457523216	-0.152436653529188	-0.767734746659249	-0.238736083449158	0.167471157734395	-0.107201515678617	-0.0296752630307812	-0.390271485399247
"KCTD6"	0.34813954845	-0.856939308743304	0.783352236865475	-0.6039853206871	0.22877809106603	0.746222105888142	-0.571748504476889	0.459026333216478	0.55823408646189	-0.0795421311667934
"KCTD7"	-0.215233626321777	0.161791441167483	-0.183539586665147	0.523359930076172	-0.0796836943609909	0.0391250113763087	0.261915624608264	0.153909979263755	0.132018984034773	0.0478160910347564
"KCTD9"	-0.173841259947473	0.180550754244668	-0.368223227993157	0.1445625592538	0.139349910631108	-0.118728252672372	-0.13294316329394	-0.0861079780838034	-0.10367523320461	0.196559490475518
"KDELC1"	-0.933102979169294	0.0607102895720257	-0.983654725990819	0.00294209802588646	0.132447368352032	-0.601583283652385	-0.233246555027832	-0.456922987816974	-0.559973980599181	0.224380934990013
"KDELC2"	-0.309738525160826	-0.147494244812904	-0.308471401184215	0.325334290975076	0.351252528173571	-0.183477869452084	0.619706355564514	-0.135798973323281	-0.173845769626671	0.230386796976443
"KDELR1"	NA	NA	NA	NA	-0.876715816201806	-0.432304135408643	0.258265878828888	-0.049196256229135	-0.946958669596578	-0.191189857097671
"KDF1"	-0.247315736798429	-0.348273350915727	0.134960069079125	-0.00965902008799435	-0.365806080311766	0.95476720360463	-1.23156143254601	-0.030256114906819	0.325413376735356	-0.730466978792465
"KDM1A"	0.0392681237138667	-0.0485860047739657	-0.150282923812993	0.118894646548188	0.0629547485134483	0.00685587902417982	0.246955944986137	0.0336988021715531	-0.0622320557613329	-0.0140436574058365
"KDM1B"	-0.148561642582162	0.602705095599741	0.0195900868106339	0.403154663432883	0.459290277137524	0.516725148676803	0.0531622096396099	0.0297502444313133	0.583035243285473	0.472224324753293
"KDM2A"	-0.0876346125936167	0.14822892221787	-0.154549484093137	0.129610760482166	-0.0760874274044807	-0.085687509366068	0.261761870727872	-0.031583040747945	-0.071257036885768	-0.177937352532388
